ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Oct 07, 2019 at 23:07:09 CST
ncverilog
	+access+rwc
	test_bench_4bit.v
Loading snapshot worklib.test_bench_4bit:v .................... Done
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
=========This is a test bench of 4 bit ADDER=========
                 450 || a=  5 | b= 10 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 455 || a=  5 | b= 11 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 460 || a=  5 | b= 12 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 465 || a=  5 | b= 13 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 470 || a=  5 | b= 14 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 475 || a=  5 | b= 15 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 480 || a=  6 | b=  0 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 485 || a=  6 | b=  1 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 490 || a=  6 | b=  2 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 495 || a=  6 | b=  3 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 500 || a=  6 | b=  4 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 505 || a=  6 | b=  5 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 510 || a=  6 | b=  6 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 515 || a=  6 | b=  7 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 520 || a=  6 | b=  8 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 525 || a=  6 | b=  9 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 530 || a=  6 | b= 10 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 535 || a=  6 | b= 11 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 540 || a=  6 | b= 12 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 545 || a=  6 | b= 13 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 550 || a=  6 | b= 14 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 555 || a=  6 | b= 15 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                 560 || a=  7 | b=  0 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 565 || a=  7 | b=  1 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 570 || a=  7 | b=  2 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 575 || a=  7 | b=  3 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 580 || a=  7 | b=  4 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 585 || a=  7 | b=  5 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 590 || a=  7 | b=  6 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 595 || a=  7 | b=  7 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 600 || a=  7 | b=  8 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 605 || a=  7 | b=  9 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 610 || a=  7 | b= 10 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 615 || a=  7 | b= 11 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 620 || a=  7 | b= 12 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 625 || a=  7 | b= 13 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 630 || a=  7 | b= 14 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                 635 || a=  7 | b= 15 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                 640 || a=  8 | b=  0 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 645 || a=  8 | b=  1 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 650 || a=  8 | b=  2 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 655 || a=  8 | b=  3 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 660 || a=  8 | b=  4 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 665 || a=  8 | b=  5 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 670 || a=  8 | b=  6 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 675 || a=  8 | b=  7 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 680 || a=  8 | b=  8 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 685 || a=  8 | b=  9 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 690 || a=  8 | b= 10 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 695 || a=  8 | b= 11 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 700 || a=  8 | b= 12 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 705 || a=  8 | b= 13 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                 710 || a=  8 | b= 14 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                 715 || a=  8 | b= 15 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                 720 || a=  9 | b=  0 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 725 || a=  9 | b=  1 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 730 || a=  9 | b=  2 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 735 || a=  9 | b=  3 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 740 || a=  9 | b=  4 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 745 || a=  9 | b=  5 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 750 || a=  9 | b=  6 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 755 || a=  9 | b=  7 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 760 || a=  9 | b=  8 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 765 || a=  9 | b=  9 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 770 || a=  9 | b= 10 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 775 || a=  9 | b= 11 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 780 || a=  9 | b= 12 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                 785 || a=  9 | b= 13 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                 790 || a=  9 | b= 14 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                 795 || a=  9 | b= 15 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                 800 || a= 10 | b=  0 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 805 || a= 10 | b=  1 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 810 || a= 10 | b=  2 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 815 || a= 10 | b=  3 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 820 || a= 10 | b=  4 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 825 || a= 10 | b=  5 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 830 || a= 10 | b=  6 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 835 || a= 10 | b=  7 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 840 || a= 10 | b=  8 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 845 || a= 10 | b=  9 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 850 || a= 10 | b= 10 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 855 || a= 10 | b= 11 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                 860 || a= 10 | b= 12 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                 865 || a= 10 | b= 13 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                 870 || a= 10 | b= 14 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                 875 || a= 10 | b= 15 | c= 0 | s=  9 | OC= 1 | (ERR:          1)
                 880 || a= 11 | b=  0 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 885 || a= 11 | b=  1 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 890 || a= 11 | b=  2 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 895 || a= 11 | b=  3 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 900 || a= 11 | b=  4 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 905 || a= 11 | b=  5 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 910 || a= 11 | b=  6 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 915 || a= 11 | b=  7 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 920 || a= 11 | b=  8 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 925 || a= 11 | b=  9 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 930 || a= 11 | b= 10 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                 935 || a= 11 | b= 11 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                 940 || a= 11 | b= 12 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                 945 || a= 11 | b= 13 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                 950 || a= 11 | b= 14 | c= 0 | s=  9 | OC= 1 | (ERR:          1)
                 955 || a= 11 | b= 15 | c= 0 | s= 10 | OC= 1 | (ERR:          1)
                 960 || a= 12 | b=  0 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 965 || a= 12 | b=  1 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 970 || a= 12 | b=  2 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 975 || a= 12 | b=  3 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 980 || a= 12 | b=  4 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 985 || a= 12 | b=  5 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 990 || a= 12 | b=  6 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 995 || a= 12 | b=  7 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                1000 || a= 12 | b=  8 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                1005 || a= 12 | b=  9 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                1010 || a= 12 | b= 10 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                1015 || a= 12 | b= 11 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                1020 || a= 12 | b= 12 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                1025 || a= 12 | b= 13 | c= 0 | s=  9 | OC= 1 | (ERR:          1)
